timestamp,target_epoch,temperature_c,utilization_pct,memory_mb,cooldown_elapsed_seconds
2026-07-29T16:22:11.300019,2,64.0,0.0,758.0,0.0637786388397216
2026-07-29T16:33:11.177230,3,86.0,0.0,990.0,0.0553057193756103
2026-07-29T16:33:41.234176,3,74.0,0.0,990.0,30.112251043319706
2026-07-29T16:45:19.172477,4,85.0,0.0,1520.0,0.0541267395019531
2026-07-29T16:45:49.220002,4,75.0,0.0,1520.0,30.101651430130005
2026-07-29T16:57:50.873669,5,85.0,0.0,1520.0,0.0547280311584472
2026-07-29T16:58:20.917888,5,74.0,0.0,1520.0,30.098947048187256
2026-07-29T17:10:00.266514,6,84.0,0.0,1520.0,0.0811495780944824
2026-07-29T17:10:30.316435,6,76.0,0.0,1520.0,30.131070613861084
2026-07-29T17:22:47.564369,7,85.0,0.0,1520.0,0.0510468482971191
2026-07-29T17:23:17.622311,7,77.0,0.0,1520.0,30.108988285064697
2026-07-29T17:35:04.283590,8,86.0,0.0,1520.0,0.0485875606536865
2026-07-29T17:35:34.334607,8,74.0,0.0,1520.0,30.099605321884155
2026-07-29T17:46:48.818588,9,84.0,0.0,1520.0,0.0486218929290771
2026-07-29T17:47:18.862797,9,74.0,0.0,1520.0,30.092830896377563
2026-07-29T17:58:13.129512,10,85.0,0.0,1520.0,0.050657033920288
2026-07-29T17:58:43.178644,10,73.0,0.0,1520.0,30.099788665771484
