volume_id,slice_index,candidate,proposed,organ_pixels,tumor_pixels,boundary_gradient,tumor_inside_organ
4,464,identity,True,7181,3640,163.33938598632812,True
4,464,rot180,False,7174,3626,151.38955688476562,True
7,373,identity,True,2772,283,263.99176025390625,True
7,373,rot180,False,2763,283,144.06112670898438,True
33,100,identity,True,8574,3127,208.30027770996094,True
33,100,rot180,False,8571,3111,160.3750762939453,True
44,97,identity,True,7343,2411,222.4593048095703,True
44,97,rot180,False,7343,2412,118.2007827758789,True
78,166,identity,True,6706,207,145.2986602783203,True
78,166,rot180,False,6710,213,92.52111053466797,True
82,400,identity,True,8936,1152,104.17156219482422,True
82,400,rot180,False,8930,1150,90.45861053466797,True
83,570,identity,False,3766,6,145.0777130126953,True
83,570,rot180,True,3771,6,225.33297729492188,True
84,554,identity,False,10977,1830,158.6258544921875,True
84,554,rot180,True,10985,1820,211.33416748046875,True
85,417,identity,False,5015,165,126.59736633300781,True
85,417,rot180,True,5015,167,232.02731323242188,True
90,440,identity,False,8509,940,188.7593231201172,True
90,440,rot180,True,8510,926,151.258056640625,True
99,549,identity,False,7932,114,122.9406967163086,True
99,549,rot180,True,7926,110,345.2283020019531,True
100,584,identity,True,10464,2772,177.5115509033203,True
100,584,rot180,False,10473,2773,168.9358673095703,True
101,505,identity,False,9884,1184,155.0441131591797,True
101,505,rot180,True,9898,1183,177.77207946777344,True
108,535,identity,False,10843,3784,105.06478881835938,True
108,535,rot180,True,10850,3796,165.33631896972656,True
116,583,identity,False,9327,2621,126.74259948730469,True
116,583,rot180,True,9335,2635,186.72299194335938,True
130,505,identity,False,10282,3328,78.69023895263672,True
130,505,rot180,True,10266,3318,144.86181640625,True
