volume_id,slice_index,lits_masks_path,lits_png_ct_path,lits_png_liver_path,lits_png_tumor_path,legacy_512_path,lits_masks_path_available,lits_png_ct_path_available,lits_png_liver_path_available,lits_png_tumor_path_available,legacy_512_path_available,sample_id
0,0,D:\DATA SCIENCE AND ANALYTICS\Dataset\LiTS_masks\mask-000-000.png,D:\DATA SCIENCE AND ANALYTICS\Dataset\lits-png\dataset_6\dataset_6\volume-0_0.png,,,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver Img Dataset\Volume-000-000.png,True,True,False,False,True,v000_s0000
0,1,D:\DATA SCIENCE AND ANALYTICS\Dataset\LiTS_masks\mask-000-001.png,D:\DATA SCIENCE AND ANALYTICS\Dataset\lits-png\dataset_6\dataset_6\volume-0_1.png,,,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver Img Dataset\Volume-000-001.png,True,True,False,False,True,v000_s0001
0,2,D:\DATA SCIENCE AND ANALYTICS\Dataset\LiTS_masks\mask-000-002.png,D:\DATA SCIENCE AND ANALYTICS\Dataset\lits-png\dataset_6\dataset_6\volume-0_2.png,,,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver Img Dataset\Volume-000-002.png,True,True,False,False,True,v000_s0002
0,3,D:\DATA SCIENCE AND ANALYTICS\Dataset\LiTS_masks\mask-000-003.png,D:\DATA SCIENCE AND ANALYTICS\Dataset\lits-png\dataset_6\dataset_6\volume-0_3.png,,,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver Img Dataset\Volume-000-003.png,True,True,False,False,True,v000_s0003
0,4,D:\DATA SCIENCE AND ANALYTICS\Dataset\LiTS_masks\mask-000-004.png,D:\DATA SCIENCE AND ANALYTICS\Dataset\lits-png\dataset_6\dataset_6\volume-0_4.png,,,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver Img Dataset\Volume-000-004.png,True,True,False,False,True,v000_s0004
0,5,D:\DATA SCIENCE AND ANALYTICS\Dataset\LiTS_masks\mask-000-005.png,D:\DATA SCIENCE AND ANALYTICS\Dataset\lits-png\dataset_6\dataset_6\volume-0_5.png,,,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver Img Dataset\Volume-000-005.png,True,True,False,False,True,v000_s0005
0,6,D:\DATA SCIENCE AND ANALYTICS\Dataset\LiTS_masks\mask-000-006.png,D:\DATA SCIENCE AND ANALYTICS\Dataset\lits-png\dataset_6\dataset_6\volume-0_6.png,,,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver Img Dataset\Volume-000-006.png,True,True,False,False,True,v000_s0006
0,7,D:\DATA SCIENCE AND ANALYTICS\Dataset\LiTS_masks\mask-000-007.png,D:\DATA SCIENCE AND ANALYTICS\Dataset\lits-png\dataset_6\dataset_6\volume-0_7.png,,,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver Img Dataset\Volume-000-007.png,True,True,False,False,True,v000_s0007
0,8,D:\DATA SCIENCE AND ANALYTICS\Dataset\LiTS_masks\mask-000-008.png,D:\DATA SCIENCE AND ANALYTICS\Dataset\lits-png\dataset_6\dataset_6\volume-0_8.png,,,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver Img Dataset\Volume-000-008.png,True,True,False,False,True,v000_s0008
0,9,D:\DATA SCIENCE AND ANALYTICS\Dataset\LiTS_masks\mask-000-009.png,D:\DATA SCIENCE AND ANALYTICS\Dataset\lits-png\dataset_6\dataset_6\volume-0_9.png,,,D:\DATA SCIENCE AND ANALYTICS\Dataset\Liver Img Dataset\Volume-000-009.png,True,True,False,False,True,v000_s0009
