volume_id,slice_index,candidate,proposed,organ_pixels,tumor_pixels,boundary_gradient,tumor_inside_organ
4,464,identity,True,7181,3640,163.33938598632812,True
4,464,rot180,False,7181,3640,154.96795654296875,True
7,373,identity,True,2772,283,263.99176025390625,True
7,373,rot180,False,2772,283,146.61741638183594,True
33,100,identity,True,8574,3127,208.30027770996094,True
33,100,rot180,False,8574,3127,163.2801513671875,True
44,97,identity,True,7343,2411,222.4593048095703,True
44,97,rot180,False,7343,2411,110.68093872070312,True
78,166,identity,True,6706,207,145.2986602783203,True
78,166,rot180,False,6706,207,82.9898452758789,True
82,400,identity,True,8936,1152,104.17156219482422,True
82,400,rot180,False,8936,1152,87.11786651611328,True
83,570,identity,False,3766,6,145.0777130126953,True
83,570,rot180,True,3766,6,234.28501892089844,True
84,554,identity,False,10977,1830,158.6258544921875,True
84,554,rot180,True,10977,1830,204.92416381835938,True
85,417,identity,False,5015,165,126.59736633300781,True
85,417,rot180,True,5015,165,228.1154327392578,True
90,440,identity,False,8509,940,188.7593231201172,True
90,440,rot180,True,8509,940,141.63343811035156,True
99,549,identity,False,7932,114,122.9406967163086,True
99,549,rot180,True,7932,114,341.0738830566406,True
100,584,identity,True,10464,2772,177.5115509033203,True
100,584,rot180,False,10464,2772,170.784423828125,True
101,505,identity,False,9884,1184,155.0441131591797,True
101,505,rot180,True,9884,1184,168.7866668701172,True
108,535,identity,False,10843,3784,105.06478881835938,True
108,535,rot180,True,10843,3784,163.36383056640625,True
116,583,identity,False,9327,2621,126.74259948730469,True
116,583,rot180,True,9327,2621,190.1004638671875,True
130,505,identity,False,10282,3328,78.69023895263672,True
130,505,rot180,True,10282,3328,153.09759521484375,True
