volume_id,slice_count,organ_positive_slices,tumor_positive_slices,identity_organ_mean_intensity,rot180_organ_mean_intensity,organ_intensity_delta_rot_minus_identity,identity_organ_nonair_fraction,rot180_organ_nonair_fraction,organ_nonair_delta_rot_minus_identity,identity_boundary_gradient,rot180_boundary_gradient,identity_tumor_mean_intensity,rot180_tumor_mean_intensity,identity_tumor_nonair_fraction,rot180_tumor_nonair_fraction,median_adjacent_organ_dice,max_normalized_organ_area_jump,identity_centroid_y,identity_centroid_x,rot180_centroid_y,rot180_centroid_x,tumor_component_count_2d,tiny_tumor_component_count_lt10px,tiny_organ_slices_lt100px,tiny_tumor_slices_lt10px,identity_centroid_distance_to_70_82_reference,rot180_centroid_distance_to_70_82_reference,centroid_distance_improvement_if_rotated,recommended_transform,orientation_confidence,affine_match_bool
0,75,29,16,178.12844189395528,114.33830244523725,-63.790139448718044,0.999949344004863,0.8458248605150991,-0.15412448348976387,167.28903503417968,95.00489654541016,157.98447204968943,152.527950310559,1.0,0.781055900621118,0.9334636556039488,1.0,-0.10724612938852673,0.10071929188734194,0.15236377602704104,-0.049649999957215925,31,12,0,3,0.2690843351006748,0.1200185122243388,0.14906582287633602,identity,anatomy_metrics_support_identity,True
1,123,29,18,173.53271217587442,114.1589851696608,-59.37372700621362,1.0,0.8289686368748732,-0.17103136312512676,161.40573425292968,134.92235412597657,144.88008923591747,118.54043502509761,1.0,0.8404907975460123,0.9243357175800194,1.0,-0.10592681199794597,0.09691325470915475,0.13036839606362183,-0.15788082824598945,41,8,2,0,0.26736541997866603,0.2299296259092718,0.037435794069394235,identity,anatomy_metrics_support_identity,True
2,517,139,28,155.3830438444984,90.25276886968129,-65.1302749748171,1.0,0.7052412934639428,-0.2947587065360572,162.86016883850098,96.25904541015625,136.68419556566232,0.1907333712336555,1.0,0.00511654349061967,0.9837859589472204,1.0,-0.08235024343136406,0.11416905602739327,0.08828586848765425,-0.18850185629612468,31,4,7,1,0.24641211766960644,0.26840485399058656,-0.021992736320980116,identity,anatomy_metrics_support_identity,True
3,534,169,14,165.65107690336694,98.56266661082176,-67.08841029254519,1.0,0.8154999186963827,-0.18450008130361728,182.5839065551758,96.82493724822999,150.0545193687231,78.03299856527977,1.0,1.0,0.986106846976839,1.0,-0.20005483548524214,0.08906886208046724,0.21120505637152603,-0.2496410448172804,17,4,2,1,0.36064566717109797,0.32381972723415925,0.03682593993693872,identity,anatomy_metrics_support_identity,True
4,841,250,244,140.92549651723152,103.63516829582606,-37.29032822140545,0.9995325921659464,0.8563201577915809,-0.1432124343743655,161.82865447998046,146.72962341308593,120.25011677711011,110.20698973680946,0.999873326524634,0.9657005175139275,0.9877350776778414,1.0,-0.12393202778299867,0.06200346230467039,0.15082811610551286,-0.07412564369681868,629,96,5,4,0.2841406144457409,0.1445422517950005,0.1395983626507404,identity,anatomy_metrics_support_identity,True
5,537,176,10,149.08970165671911,84.8933463550925,-64.19635530162661,1.0,0.8544776587602002,-0.14552234123979974,213.2430389404297,117.406689453125,136.17777777777778,70.39259259259259,1.0,0.9111111111111111,0.9848624457022509,1.0,-0.15235751328967567,0.10611483929439745,0.10127327569523581,-0.010596259150193441,11,3,8,2,0.3145167400235206,0.099873600267737,0.21464313975578359,identity,anatomy_metrics_support_identity,True
6,518,186,91,154.43041684776549,77.87291305478853,-76.55750379297697,0.9996800811753623,0.7679716015491826,-0.23170847962617971,186.37432556152345,130.5396484375,129.87495277672838,103.26256139025311,1.0,1.0,0.985698188437202,1.0,-0.1884130533641081,0.037366050869006226,0.21360885998564727,-0.2770484944446441,126,30,6,11,0.3500414407534403,0.35126845417347247,-0.0012270134200321747,identity,anatomy_metrics_support_identity,True
7,541,177,83,156.33611056016034,71.59436394763765,-84.7417466125227,0.9993658266697288,0.7480465895567572,-0.2513192371129716,220.3626266479492,101.77224655151367,129.72840572556763,77.98408193484698,1.0,0.9179417571569596,0.9846014383015957,1.0,-0.18613914403836362,0.020574170806353275,0.21760070597407705,-0.09956071481916937,103,15,3,10,0.34975875657314204,0.1791605850162831,0.17059817155685894,identity,anatomy_metrics_support_identity,True
8,541,179,81,153.87995515905374,77.61971428268858,-76.26024087636516,0.9997594564623761,0.7866908319629412,-0.21306862449943495,179.02796630859376,154.79318237304688,131.19087057010785,85.93875192604006,1.0,0.9083204930662557,0.9842999496883615,1.0,-0.18117772931986081,0.0005102855232562339,0.24884190870359865,-0.08611299330634796,101,22,5,10,0.34829714782909194,0.17968024055629858,0.16861690727279335,identity,anatomy_metrics_support_identity,True
9,549,173,80,155.79463862049548,72.10640720134461,-83.68823141915087,0.999756664354978,0.742015549147717,-0.2577411152072611,183.36536254882813,92.3849365234375,133.6856169296987,82.87338593974175,1.0,0.953909612625538,0.982843999727867,1.0,-0.17965605048053282,0.042346762253284154,0.2737642605686266,-0.18807365252764963,97,16,6,9,0.3408819472292955,0.28210792817357744,0.05877401905571805,identity,anatomy_metrics_support_identity,True
