split,sample_id,volume_id,slice_index,tumor_pixels_native,median_contrast_hu,window,lower_hu,upper_hu,tumor_median_windowed,liver_median_windowed,absolute_median_separation,tumor_low_saturation_pct,tumor_high_saturation_pct,liver_low_saturation_pct,liver_high_saturation_pct
train,v000_s0046,0,46,46,-17.0,broad_abdominal,-160.0,240.0,0.6575000286102295,0.699999988079071,0.04249995946884155,0.0,0.0,0.0,0.0
train,v000_s0046,0,46,46,-17.0,liver_soft_tissue,-20.0,140.0,0.768750011920929,0.875,0.10624998807907104,0.0,2.1739130434782608,0.26702269692923897,10.14686248331108
train,v000_s0046,0,46,46,-17.0,narrow_lesion,20.0,120.0,0.8299999833106995,1.0,0.17000001668930054,0.0,26.08695652173913,1.7801513128615931,50.556297285269245
train,v000_s0056,0,56,173,-53.0,broad_abdominal,-160.0,240.0,0.5774999856948853,0.7099999785423279,0.13249999284744263,0.0,0.0,0.0,0.0
train,v000_s0056,0,56,173,-53.0,liver_soft_tissue,-20.0,140.0,0.5687500238418579,0.8999999761581421,0.3312499523162842,0.0,0.0,0.0,15.60157601383817
train,v000_s0056,0,56,173,-53.0,narrow_lesion,20.0,120.0,0.5099999904632568,1.0,0.49000000953674316,0.5780346820809248,0.0,0.13934268691139728,63.36728810301749
train,v000_s0057,0,57,368,-55.0,broad_abdominal,-160.0,240.0,0.574999988079071,0.7124999761581421,0.13749998807907104,0.0,0.0,0.0,0.0
train,v000_s0057,0,57,368,-55.0,liver_soft_tissue,-20.0,140.0,0.5625,0.90625,0.34375,0.0,0.0,0.17932357479461195,18.79561282789107
train,v000_s0057,0,57,368,-55.0,narrow_lesion,20.0,120.0,0.5,1.0,0.5,0.8152173913043478,0.5434782608695652,0.4545644105258768,64.34380082572251
train,v000_s0058,0,58,538,-36.0,broad_abdominal,-160.0,240.0,0.6225000023841858,0.7124999761581421,0.0899999737739563,0.0,0.0,0.0,0.0075091987684914015
train,v000_s0058,0,58,538,-36.0,liver_soft_tissue,-20.0,140.0,0.6812499761581421,0.90625,0.2250000238418579,0.0,0.5576208178438662,0.09011038522189682,19.602763385146805
train,v000_s0058,0,58,538,-36.0,narrow_lesion,20.0,120.0,0.6899999976158142,1.0,0.3100000023841858,0.0,7.434944237918216,0.24780355936021625,64.57535480964182
train,v000_s0059,0,59,377,-21.0,broad_abdominal,-160.0,240.0,0.6650000214576721,0.7174999713897705,0.05249994993209839,0.0,0.0,0.0,0.027563395810363836
train,v000_s0059,0,59,377,-21.0,liver_soft_tissue,-20.0,140.0,0.7875000238418579,0.918749988079071,0.13124996423721313,0.0,4.509283819628647,0.16538037486218302,19.669928335170894
train,v000_s0059,0,59,377,-21.0,narrow_lesion,20.0,120.0,0.8600000143051147,1.0,0.13999998569488525,0.0,25.9946949602122,0.45479603087100334,69.24269570011026
train,v000_s0060,0,60,189,-19.0,broad_abdominal,-160.0,240.0,0.6625000238418579,0.7099999785423279,0.04749995470046997,0.0,0.0,0.0,0.0
train,v000_s0060,0,60,189,-19.0,liver_soft_tissue,-20.0,140.0,0.78125,0.8999999761581421,0.11874997615814209,0.0,2.1164021164021163,0.1049145929641651,16.26831907150585
train,v000_s0060,0,60,189,-19.0,narrow_lesion,20.0,120.0,0.8500000238418579,1.0,0.1499999761581421,0.0,12.698412698412698,0.2852365496213239,62.44385429985903
train,v000_s0061,0,61,93,-45.0,broad_abdominal,-160.0,240.0,0.5950000286102295,0.7074999809265137,0.11249995231628418,0.0,0.0,0.0,0.0
train,v000_s0061,0,61,93,-45.0,liver_soft_tissue,-20.0,140.0,0.612500011920929,0.893750011920929,0.28125,0.0,0.0,0.02540247039024545,15.774934112342425
train,v000_s0061,0,61,93,-45.0,narrow_lesion,20.0,120.0,0.5799999833106995,1.0,0.42000001668930054,0.0,1.0752688172043012,0.29847902708538404,60.448353602387826
