epoch,train_loss,val_loss,val_global_micro_dice,val_mean_patient_dice,val_median_patient_dice,val_worst_patient_dice,val_pixel_precision,val_pixel_recall,val_positive_slice_recall,val_positive_predicted_empty_pct,val_empty_slice_false_positive_pct,lr,temperature_c,utilization_pct,memory_mb,elapsed_seconds
1,0.4540245733574587,0.4795555416925187,0.43405707870083815,0.2900433704101505,0.2679899291599041,0.007522868657043208,0.34624965127896534,0.5815307959071497,0.8723608445297505,3.838771593090211,85.23281136575754,0.0003,88.0,51.0,391.0,686.0924255
2,0.42443536217840516,0.47955333585208076,0.43532731194947427,0.38288114201167045,0.36728404388060426,0.011778971100762776,0.42147237260471254,0.45012411162092636,0.8109404990403071,10.844529750479847,44.11490200145183,0.00029882903314519993,86.0,45.0,967.0,1320.4963355000002
3,0.4151556871777004,0.4794964784821674,0.5356799511967736,0.3856877341011594,0.4604761523948877,0.020027560953603345,0.6674078765813843,0.4473795541088037,0.7773512476007678,11.324376199616124,43.01565902727367,0.0002953345994276017,85.0,46.0,967.0,1993.8641652
4,0.4081195683590935,0.4800853431587416,0.5234048331440693,0.36871500599726365,0.427018558308804,0.009988745110791054,0.5392151660604114,0.5084952394823423,0.8224568138195777,4.702495201535509,49.47630405475474,0.00028957180815440534,85.0,58.0,967.0,2603.6084921
5,0.4037273863355812,0.47842021391221057,0.3770989329692204,0.2425592543122969,0.2388686027566108,0.005418924567842067,0.2912511181101192,0.5347065218881726,0.8416506717850288,4.030710172744722,80.44177123301877,0.00028163154198651373,87.0,52.0,967.0,3250.3937743000006
6,0.4011718544982711,0.481170440701943,0.5263151096094357,0.37624011182462763,0.4902039353082185,0.010048969604353392,0.672162518854468,0.4324755453868955,0.746641074856046,12.859884836852208,27.066265684952814,0.0002716390236646797,87.0,51.0,967.0,3880.3770972
7,0.39909525813071933,0.48162615933482983,0.49818288350475587,0.3379927188459584,0.2379457917985786,0.02967263352445794,0.6410144460756039,0.4074045432291957,0.7591170825335892,4.798464491362764,57.01545162293892,0.0002597518411720796,87.0,44.0,967.0,4503.401206500001
8,0.39689826541165407,0.47921073170649875,0.5461316674679476,0.40691512091570753,0.5113440197387722,0.01990114470474108,0.6177091447049636,0.4894198066080311,0.7802303262955854,8.253358925143955,47.42300114072384,0.0002461574624776804,87.0,50.0,967.0,5162.6238775
9,0.39488154456045416,0.4811059877199718,0.5178068350464354,0.3642416679650181,0.3757359236502264,0.022918665439563016,0.6141474751223602,0.4475933566553282,0.7696737044145874,8.061420345489443,48.273358913201285,0.00023107027905438094,86.0,53.0,967.0,5764.961406400001
10,0.39354686105779246,0.48093954138405476,0.5233751141137529,0.38823336530285557,0.5192649417171745,0.028121954620946063,0.6688434552437118,0.4298795882262579,0.7562380038387716,7.869481765834933,48.85409105050296,0.00021472822479741324,85.0,44.0,967.0,6363.1662148000005
