artifact,exists,expected_sha256,actual_sha256,passed
step_13_3d_ircadb_ingestion_and_qc/outputs/INGESTION_QC_REPORT.md,True,7a8b6d95810cfad9079bec5f22e86c108f7181263aade90f36b46fdb4b0d436e,7a8b6d95810cfad9079bec5f22e86c108f7181263aade90f36b46fdb4b0d436e,True
step_13_3d_ircadb_ingestion_and_qc/outputs/archive_inventory.csv,True,fe893de097e6e2fd118b974c02818d99e0ce59260c6c3b7fe1d2bf826dd5bb0b,fe893de097e6e2fd118b974c02818d99e0ce59260c6c3b7fe1d2bf826dd5bb0b,True
step_13_3d_ircadb_ingestion_and_qc/outputs/authorization_state.json,True,b36b0654540dd364c896cae89ad757a9a173cd83c0efb884a46ebcd0ce13ce72,b36b0654540dd364c896cae89ad757a9a173cd83c0efb884a46ebcd0ce13ce72,True
step_13_3d_ircadb_ingestion_and_qc/outputs/configuration.json,True,cd1a1aa7516e6b454a5e4a719c0f0af68c8b6f48145910809091b7776af22253,cd1a1aa7516e6b454a5e4a719c0f0af68c8b6f48145910809091b7776af22253,True
step_13_3d_ircadb_ingestion_and_qc/outputs/dicom_series_profile.csv,True,ef3e6cabfcea564872112eb39e0e63f8b4a03dacc19c54e2ce7383a76f556069,ef3e6cabfcea564872112eb39e0e63f8b4a03dacc19c54e2ce7383a76f556069,True
step_13_3d_ircadb_ingestion_and_qc/outputs/download_manifest.csv,True,0604c572835bc05ddea97afc04765cc581d0df13d99f4200b8eec430d0dcbfc7,0604c572835bc05ddea97afc04765cc581d0df13d99f4200b8eec430d0dcbfc7,True
step_13_3d_ircadb_ingestion_and_qc/outputs/expected_vs_actual.csv,True,420bd3a1c41e0761f3f5f0cf20ef04a31001085628f16e38a5461815a899a02f,420bd3a1c41e0761f3f5f0cf20ef04a31001085628f16e38a5461815a899a02f,True
step_13_3d_ircadb_ingestion_and_qc/outputs/extracted_file_inventory.csv,True,65a79ee778d460042c171d28dfed56ad766a77f0aa1639984c9b070cd464edea,65a79ee778d460042c171d28dfed56ad766a77f0aa1639984c9b070cd464edea,True
step_13_3d_ircadb_ingestion_and_qc/outputs/gate_result.json,True,919548688e59a53e2db7d7360f65d7ab803fd833117ed0de9ffee1ced27eb376,919548688e59a53e2db7d7360f65d7ab803fd833117ed0de9ffee1ced27eb376,True
step_13_3d_ircadb_ingestion_and_qc/outputs/ingestion_qc_dashboard.png,True,50a717a7f962b7e249cbc7621b288b8731e3b971288238eb032c23cd0ca2673d,50a717a7f962b7e249cbc7621b288b8731e3b971288238eb032c23cd0ca2673d,True
step_13_3d_ircadb_ingestion_and_qc/outputs/ingestion_qc_results.csv,True,d45fddd82f4dd7586a3d01ec5f7353195e7382dd8b92509957cf02cd6dcbf72e,d45fddd82f4dd7586a3d01ec5f7353195e7382dd8b92509957cf02cd6dcbf72e,True
step_13_3d_ircadb_ingestion_and_qc/outputs/input_verification.csv,True,e39b171fa66a024837d3cfba2a91cc6c48efc9d008509ca720e351ade4247046,e39b171fa66a024837d3cfba2a91cc6c48efc9d008509ca720e351ade4247046,True
step_13_3d_ircadb_ingestion_and_qc/outputs/label_inventory.csv,True,c561027f07ba4410c929b2bf77f28947a79fe328bd338b72f53e598c993d12e4,c561027f07ba4410c929b2bf77f28947a79fe328bd338b72f53e598c993d12e4,True
step_13_3d_ircadb_ingestion_and_qc/outputs/patient_source_qc_summary.csv,True,9bb2c293b3dc989c29278883decb02d936a566ca5cf6d7ab0274397e012f14db,9bb2c293b3dc989c29278883decb02d936a566ca5cf6d7ab0274397e012f14db,True
step_13_3d_ircadb_ingestion_and_qc/outputs/provenance.json,True,571b50f85832384dab4267ca31656ea7a5e38dc05e01213b05e1894377bc43bd,571b50f85832384dab4267ca31656ea7a5e38dc05e01213b05e1894377bc43bd,True
step_13_3d_ircadb_ingestion_and_qc/outputs/source_terms_snapshot.json,True,1d4667c44bc8b4093cb49d019d9430b1a52536124e9185c11de4c9226f6d4ae4,1d4667c44bc8b4093cb49d019d9430b1a52536124e9185c11de4c9226f6d4ae4,True
