volume_id,slice_id,split,tumor_pixels,has_tumor,mask_height,mask_width
0,0,train,0,False,256,256
0,1,train,0,False,256,256
0,2,train,0,False,256,256
0,3,train,0,False,256,256
0,4,train,0,False,256,256
0,5,train,0,False,256,256
0,6,train,0,False,256,256
0,7,train,0,False,256,256
0,8,train,0,False,256,256
0,9,train,0,False,256,256
0,10,train,0,False,256,256
0,11,train,0,False,256,256
0,12,train,0,False,256,256
0,13,train,0,False,256,256
0,14,train,0,False,256,256
0,15,train,0,False,256,256
0,16,train,0,False,256,256
0,17,train,0,False,256,256
0,18,train,0,False,256,256
0,19,train,0,False,256,256
0,20,train,0,False,256,256
0,21,train,0,False,256,256
0,22,train,0,False,256,256
0,23,train,0,False,256,256
0,24,train,0,False,256,256
0,25,train,0,False,256,256
0,26,train,0,False,256,256
0,27,train,0,False,256,256
0,28,train,0,False,256,256
0,29,train,0,False,256,256
0,30,train,0,False,256,256
0,31,train,0,False,256,256
0,32,train,0,False,256,256
0,33,train,0,False,256,256
0,34,train,0,False,256,256
0,35,train,0,False,256,256
0,36,train,0,False,256,256
0,37,train,0,False,256,256
0,38,train,0,False,256,256
0,39,train,0,False,256,256
0,40,train,0,False,256,256
0,41,train,0,False,256,256
0,42,train,0,False,256,256
0,43,train,0,False,256,256
0,44,train,0,False,256,256
0,45,train,0,False,256,256
0,46,train,11,True,256,256
0,47,train,0,False,256,256
0,48,train,0,False,256,256
0,49,train,0,False,256,256
0,50,train,0,False,256,256
0,51,train,0,False,256,256
0,52,train,0,False,256,256
0,53,train,0,False,256,256
0,54,train,0,False,256,256
0,55,train,0,False,256,256
0,56,train,38,True,256,256
0,57,train,83,True,256,256
0,58,train,116,True,256,256
0,59,train,88,True,256,256
0,60,train,39,True,256,256
0,61,train,20,True,256,256
0,62,train,1,True,256,256
0,63,train,0,False,256,256
0,64,train,0,False,256,256
0,65,train,1,True,256,256
0,66,train,31,True,256,256
0,67,train,15,True,256,256
0,68,train,5,True,256,256
0,69,train,27,True,256,256
0,70,train,7,True,256,256
0,71,train,42,True,256,256
0,72,train,43,True,256,256
0,73,train,0,False,256,256
0,74,train,0,False,256,256
1,0,train,0,False,256,256
1,1,train,0,False,256,256
1,2,train,0,False,256,256
1,3,train,0,False,256,256
1,4,train,0,False,256,256
1,5,train,0,False,256,256
1,6,train,0,False,256,256
1,7,train,0,False,256,256
1,8,train,0,False,256,256
