timestamp,target_epoch,temperature_c,utilization_pct,memory_mb,cooldown_elapsed_seconds
2026-07-28T10:32:06.178711,1,60.0,0.0,109.0,0.0626544952392578
2026-07-28T10:40:10.808486,2,86.0,82.0,391.0,0.0507667064666748
2026-07-28T10:40:40.859679,2,72.0,0.0,391.0,30.101959228515625
2026-07-28T10:49:31.875611,3,87.0,52.0,961.0,0.0596735477447509
2026-07-28T10:50:01.922030,3,74.0,0.0,961.0,30.10609340667725
2026-07-28T10:58:07.850925,4,86.0,47.0,961.0,0.0557246208190918
2026-07-28T10:58:37.901849,4,73.0,0.0,961.0,30.106648683547974
2026-07-28T11:06:45.913126,5,86.0,74.0,961.0,0.048316478729248
2026-07-28T11:07:15.964397,5,73.0,0.0,961.0,30.09958839416504
2026-07-28T11:15:22.940489,6,87.0,63.0,961.0,0.041778564453125
2026-07-28T11:15:52.984978,6,74.0,0.0,961.0,30.086267948150635
2026-07-28T11:23:58.350785,7,86.0,0.0,961.0,0.0485315322875976
2026-07-28T11:24:28.402001,7,74.0,0.0,961.0,30.09974718093872
2026-07-28T11:45:49.189551,7,61.0,36.0,205.0,0.0522997379302978
2026-07-28T11:54:25.878563,8,85.0,7.0,423.0,0.0347108840942382
2026-07-28T11:54:55.936335,8,73.0,0.0,423.0,30.092482566833496
2026-07-28T12:03:22.023270,9,86.0,17.0,991.0,0.0502181053161621
2026-07-28T12:03:52.073058,9,73.0,0.0,991.0,30.100006341934204
2026-07-28T12:12:15.470274,10,86.0,6.0,991.0,0.0481612682342529
2026-07-28T12:12:45.513633,10,73.0,0.0,991.0,30.091520309448242
