model,threshold,volume_id,has_tumor,dice
control,0.05000000074505806,104,True,0.0797301765877954
control,0.05000000074505806,105,False,6.071645412221223e-10
control,0.05000000074505806,106,False,6.188118808051906e-10
control,0.05000000074505806,107,True,0.17279366268439242
control,0.05000000074505806,108,True,0.7642969617081371
control,0.05000000074505806,109,True,0.4671675014035622
control,0.05000000074505806,110,True,0.6543833955425209
control,0.05000000074505806,111,True,0.3380637910161495
control,0.05000000074505806,112,True,0.1016518427250153
control,0.05000000074505806,113,True,0.48365379437561884
control,0.05000000074505806,114,False,1.3245033095039691e-09
control,0.05000000074505806,115,False,1.619957880832665e-10
control,0.05000000074505806,116,True,0.013768167231673421
control,0.10000000149011612,104,True,0.0768893086736343
control,0.10000000149011612,105,False,6.548788469843622e-10
control,0.10000000149011612,106,False,6.631299730350596e-10
control,0.10000000149011612,107,True,0.17663293479082234
control,0.10000000149011612,108,True,0.7684957906205919
control,0.10000000149011612,109,True,0.47829133345868974
control,0.10000000149011612,110,True,0.6583273998372333
control,0.10000000149011612,111,True,0.3540005905884262
control,0.10000000149011612,112,True,0.10854816855205286
control,0.10000000149011612,113,True,0.4934852512129238
control,0.10000000149011612,114,False,1.4124293765361166e-09
control,0.10000000149011612,115,False,1.75777816808617e-10
control,0.10000000149011612,116,True,0.013138319460729058
control,0.15000000596046448,104,True,0.07499899842316478
control,0.15000000596046448,105,False,6.872852228953366e-10
control,0.15000000596046448,106,False,7.062146887667975e-10
control,0.15000000596046448,107,True,0.18109480049648857
control,0.15000000596046448,108,True,0.7693533907764717
control,0.15000000596046448,109,True,0.4845102562322467
control,0.15000000596046448,110,True,0.6606412455525029
control,0.15000000596046448,111,True,0.3689410312798794
control,0.15000000596046448,112,True,0.11449016131860817
control,0.15000000596046448,113,True,0.49978111499077293
control,0.15000000596046448,114,False,1.499250372564842e-09
control,0.15000000596046448,115,False,1.8733608089409214e-10
control,0.15000000596046448,116,True,0.012671526454791323
control,0.20000000298023224,104,True,0.07373173118094374
control,0.20000000298023224,105,False,7.178750892190415e-10
control,0.20000000298023224,106,False,7.440476184940121e-10
control,0.20000000298023224,107,True,0.18217877897971685
control,0.20000000298023224,108,True,0.769138783097897
control,0.20000000298023224,109,True,0.489196984276446
control,0.20000000298023224,110,True,0.6621116972341604
control,0.20000000298023224,111,True,0.3761715648330148
control,0.20000000298023224,112,True,0.12030075221041325
control,0.20000000298023224,113,True,0.5047276963497772
control,0.20000000298023224,114,False,1.5748031471262943e-09
control,0.20000000298023224,115,False,1.9801980194098615e-10
control,0.20000000298023224,116,True,0.012419957058853444
control,0.25,104,True,0.07266231499888977
control,0.25,105,False,7.407407401920438e-10
control,0.25,106,False,7.794232262046584e-10
control,0.25,107,True,0.1825846781243517
control,0.25,108,True,0.7685298379229204
control,0.25,109,True,0.49353192806541435
control,0.25,110,True,0.6625689786966199
control,0.25,111,True,0.3834586467173163
control,0.25,112,True,0.12475633562387668
control,0.25,113,True,0.5084371114585163
control,0.25,114,False,1.6339869254346618e-09
control,0.25,115,False,2.0777062119098883e-10
control,0.25,116,True,0.012025573704947482
control,0.30000001192092896,104,True,0.07156420444318143
control,0.30000001192092896,105,False,7.692307686390531e-10
control,0.30000001192092896,106,False,8.097165985346423e-10
control,0.30000001192092896,107,True,0.18420659812147985
control,0.30000001192092896,108,True,0.7673829861808448
control,0.30000001192092896,109,True,0.49598030744766597
control,0.30000001192092896,110,True,0.6632961893028048
control,0.30000001192092896,111,True,0.3893805310754081
control,0.30000001192092896,112,True,0.12916328223835774
control,0.30000001192092896,113,True,0.5118039286455657
control,0.30000001192092896,114,False,1.6863406379656987e-09
control,0.30000001192092896,115,False,2.1677866893197944e-10
control,0.30000001192092896,116,True,0.011784902939050336
control,0.3499999940395355,104,True,0.07072097606998246
control,0.3499999940395355,105,False,8.025682176544395e-10
control,0.3499999940395355,106,False,8.347245402047373e-10
control,0.3499999940395355,107,True,0.1854406131516566
control,0.3499999940395355,108,True,0.7658016160290069
control,0.3499999940395355,109,True,0.4991622117742716
control,0.3499999940395355,110,True,0.6630601168998216
control,0.3499999940395355,111,True,0.39711934166716056
control,0.3499999940395355,112,True,0.13322161745570943
control,0.3499999940395355,113,True,0.5153613418174637
control,0.3499999940395355,114,False,1.7211703929067634e-09
control,0.3499999940395355,115,False,2.2527596300399277e-10
control,0.3499999940395355,116,True,0.011428792815929097
control,0.4000000059604645,104,True,0.06936291087421395
control,0.4000000059604645,105,False,8.257638308622923e-10
control,0.4000000059604645,106,False,8.605851971939885e-10
control,0.4000000059604645,107,True,0.18533061109072868
control,0.4000000059604645,108,True,0.763638081934422
control,0.4000000059604645,109,True,0.5014169658173486
control,0.4000000059604645,110,True,0.6634110351913255
control,0.4000000059604645,111,True,0.4047619048661131
control,0.4000000059604645,112,True,0.13712807281710734
control,0.4000000059604645,113,True,0.5181617995201135
control,0.4000000059604645,114,False,1.7543859618344105e-09
control,0.4000000059604645,115,False,2.3331777876030846e-10
control,0.4000000059604645,116,True,0.01123914841481992
control,0.44999998807907104,104,True,0.0682711331670831
control,0.44999998807907104,105,False,8.474576264004595e-10
control,0.44999998807907104,106,False,8.833922253680279e-10
control,0.44999998807907104,107,True,0.18646519865191044
control,0.44999998807907104,108,True,0.7610127873123372
control,0.44999998807907104,109,True,0.5039301070987339
control,0.44999998807907104,110,True,0.6624696306076988
control,0.44999998807907104,111,True,0.4098624264052416
control,0.44999998807907104,112,True,0.14151365913949232
control,0.44999998807907104,113,True,0.5210977058298202
control,0.44999998807907104,114,False,1.8083182607444515e-09
control,0.44999998807907104,115,False,2.4213075054669954e-10
control,0.44999998807907104,116,True,0.01100995678067953
control,0.5,104,True,0.06718626946382444
