timestamp,target_epoch,temperature_c,utilization_pct,memory_mb,cooldown_elapsed_seconds
2026-07-28T18:00:47.274802,1,62.0,0.0,109.0,0.075925588607788
2026-07-28T18:10:22.260542,2,86.0,0.0,397.0,0.0518374443054199
2026-07-28T18:10:52.301712,2,73.0,0.0,397.0,30.093007802963257
2026-07-28T18:19:21.874377,3,86.0,61.0,969.0,0.0611310005187988
2026-07-28T18:19:51.934611,3,73.0,0.0,969.0,30.121365070343018
2026-07-28T18:28:29.888382,4,86.0,67.0,969.0,0.0497674942016601
2026-07-28T18:28:59.956056,4,73.0,0.0,969.0,30.11744165420532
2026-07-28T18:37:38.198578,5,86.0,5.0,969.0,0.0484848022460937
2026-07-28T18:38:08.249882,5,73.0,0.0,969.0,30.099788665771484
2026-07-28T18:46:41.173991,6,87.0,12.0,969.0,0.0483591556549072
2026-07-28T18:47:11.225672,6,73.0,0.0,969.0,30.10003972053528
2026-07-28T18:55:43.750092,7,86.0,6.0,969.0,0.0664436817169189
2026-07-28T18:56:13.813865,7,73.0,0.0,969.0,30.13021683692932
2026-07-28T19:04:27.135438,8,86.0,67.0,969.0,0.055772066116333
2026-07-28T19:04:57.179738,8,74.0,0.0,969.0,30.10007166862488
2026-07-28T20:00:28.604516,8,58.0,0.0,205.0,0.04864501953125
2026-07-28T20:09:14.798106,9,86.0,76.0,423.0,0.0398557186126709
2026-07-28T20:09:44.848785,9,72.0,0.0,423.0,30.090534448623657
2026-07-28T20:18:31.647370,10,85.0,48.0,997.0,0.049112319946289
2026-07-28T20:19:01.682950,10,74.0,0.0,997.0,30.084692001342773
