split,volume_id,sampled_slices,manifest_tumor_pixels,liver_mean,liver_std,liver_p10,liver_p50,liver_p90,tumor_mean,tumor_std,tumor_p10,tumor_p50,tumor_p90,tumor_liver_contrast,tumor_to_liver_std_ratio,pc1,pc2,shift_score,appearance_outlier,baseline_dice,composite_dice,dice_change
val,104,31,12806,96.87738800048828,21.465274810791016,75.29411315917969,98.82351684570312,117.64706420898438,10.174591064453125,21.019054412841797,-7.8431396484375,7.8431396484375,28.23529052734375,-86.70279693603516,0.9792119876459772,-3.592399015140177,-5.0299310270947,6.676829510123268,True,0.1976129668597161,0.005004905390155,-0.1926080614695611
val,105,16,0,91.73497009277344,17.155118942260742,72.1568603515625,92.54902648925781,111.37255859375,,,,,,,,-0.7495031160376843,0.46941910868067094,1.3226462609885075,False,4.7551117428649e-10,1.1160714273258132e-09,6.405602530393232e-10
val,106,16,0,105.41462707519531,15.279667854309082,87.8431396484375,105.09805297851562,122.35293579101562,,,,,,,,0.2186086668824479,0.20316417491892508,1.5062727900303896,False,5.434782605741965e-10,7.457121545520416e-10,2.0223389397784507e-10
val,107,30,353,123.01287841796875,26.500843048095703,98.82351684570312,125.49020385742188,145.88235473632812,99.19459533691406,19.97649383544922,70.58824157714844,101.96078491210938,123.60784149169922,-23.818283081054688,0.7538059751229194,3.544868747891914,1.7737620682337372,4.266007533485572,False,0.0856586634034915,0.2064347067686075,0.120776043365116
val,108,27,44524,101.29204559326172,21.70586395263672,76.86274719238281,103.5294189453125,123.92156982421875,61.105628967285156,22.0615234375,34.50981140136719,58.039215087890625,92.54902648925781,-40.18641662597656,1.016385410211699,-0.17981486689419274,-0.7787170073543256,0.8572336089070897,False,0.7306071227402893,0.7534570566812345,0.022849933940945255
val,109,30,3321,83.36764526367188,18.4847412109375,62.74510192871094,84.70588684082031,103.5294189453125,23.133520126342773,21.373533248901367,-1.568634033203125,20.39215087890625,54.90196228027344,-60.2341251373291,1.1562798204745521,-3.7074757610421325,-3.2526743004166603,5.064833093369385,False,0.5470230669299758,0.3878114605100166,-0.15921160641995924
val,110,31,6373,129.97055053710938,21.812129974365234,105.09805297851562,130.19607543945312,153.72549438476562,93.66527557373047,23.236343383789062,65.88235473632812,95.686279296875,119.2156982421875,-36.305274963378906,1.0652945590869685,3.927718769179772,0.6288609337950558,4.00669341391912,False,0.7596509598645785,0.6776967120568795,-0.081954247807699
val,111,31,409,126.08552551269531,22.601200103759766,100.39215087890625,127.058837890625,150.58822631835938,75.0,22.669178009033203,47.2156867980957,76.86274719238281,103.5294189453125,-51.08552551269531,1.0030077121994123,2.592793154416153,-0.8202428251917484,2.8943482495331763,False,0.2607674237938983,0.2931368748947001,0.032369451100801805
val,112,30,193,138.75025939941406,20.236827850341797,116.07843017578125,139.60784912109375,160.0,65.57422637939453,28.53778076171875,32.94117736816406,67.45097351074219,103.52941131591797,-73.17603302001953,1.4101904198012314,3.493833017772689,-3.002875657651477,4.791120863166226,False,0.3425925932013031,0.0178351785027928,-0.32475741469851027
val,113,29,3854,117.38245391845703,17.71864891052246,97.25491333007812,117.64706420898438,136.4705810546875,80.756103515625,18.77098846435547,58.039215087890625,80.0,105.09805297851562,-36.62635040283203,1.0593916364135452,2.01666106377096,0.5742725695278392,2.366658139078213,False,0.5237082674604491,0.5135602233556332,-0.010148044104815845
val,114,16,0,100.08970642089844,23.419795989990234,75.29411315917969,98.82351684570312,125.49020385742188,,,,,,,,-0.07222989342972196,-0.0004883901262358669,0.7165300594582411,False,1.0638297759167044e-08,3.571428443877555e-08,2.5075986679608505e-08
val,115,16,0,125.46475982666016,21.116731643676758,101.96078491210938,125.49020385742188,147.45098876953125,,,,,,,,1.786324477277155,-0.5640651384922643,2.4254123616967576,False,3.81679389167298e-10,4.389815625816586e-10,5.73021734143606e-11
val,116,31,25762,66.99345397949219,20.893728256225586,45.49018859863281,65.88235473632812,89.41175842285156,57.44459915161133,19.64154624938965,34.50981140136719,56.4705810546875,80.0,-9.54885482788086,0.9400690010188664,-3.3208071572203823,1.0001679860727546,3.7398188679495443,False,6.412393874840252e-12,0.0514811439758605,0.051481143969448105
