volume_id,slices,tumor_positive_slices,cache_dtype,cache_mb
104,781,122,float16,83.4534273147583
105,986,0,float16,105.48910808563232
106,771,0,float16,81.11010837554932
107,771,71,float16,81.57090091705322
108,856,202,float16,91.34368324279785
109,756,131,float16,80.2528600692749
110,816,130,float16,85.87925624847412
111,761,92,float16,80.79430866241455
112,751,26,float16,79.94147872924805
113,836,135,float16,88.83185005187988
114,846,0,float16,89.78357601165771
115,846,0,float16,90.72944450378418
116,908,133,float16,96.91008377075195
